TITLE,
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,24/04/24
TIME,14:08:34
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,0.964233
XUNITS,1/CM
YUNITS,TRANSMITTANCE
FIRSTX,  649.8934
LASTX, 4000.6047
NPOINTS,    3476
FIRSTY,    99.95287
MAXY,   101.42229
MINY,    78.05835
XYDATA
649.8934,99.9529
650.8576,99.9155
651.8218,99.9121
652.7861,99.9347
653.7503,99.9785
654.7145,99.9655
655.6788,99.9382
656.6430,99.8845
657.6072,99.7927
658.5715,99.6813
659.5357,99.6013
660.4999,99.6085
661.4642,99.7173
662.4284,99.8751
663.3926,99.9809
664.3569,99.9191
665.3211,99.5765
666.2853,98.8725
667.2496,97.8824
668.2138,97.0158
669.1780,96.7866
670.1423,97.1943
671.1065,97.8292
672.0707,98.3833
673.0350,98.7516
673.9992,98.9342
674.9634,98.9736
675.9277,98.9317
676.8919,98.8731
677.8561,98.8449
678.8204,98.867
679.7846,98.9381
680.7488,99.0435
681.7131,99.1607
682.6773,99.2655
683.6415,99.3414
684.6058,99.387
685.5700,99.4154
686.5342,99.4432
687.4985,99.4772
688.4627,99.5083
689.4269,99.5151
690.3912,99.4779
691.3554,99.3996
692.3196,99.323
693.2839,99.3211
694.2481,99.4393
695.2123,99.6523
696.1766,99.897
697.1408,100.121
698.1050,100.296
699.0693,100.412
700.0335,100.471
700.9977,100.487
701.9620,100.476
702.9262,100.456
703.8904,100.442
704.8547,100.445
705.8189,100.466
706.7831,100.5
707.7474,100.535
708.7116,100.56
709.6758,100.566
710.6401,100.559
711.6043,100.548
712.5685,100.541
713.5328,100.534
714.4970,100.511
715.4612,100.586
716.4255,100.458
717.3897,100.283
718.3539,100.102
719.3182,99.9689
720.2824,99.9315
721.2466,100
722.2109,100.16
723.1751,100.353
724.1393,100.508
725.1036,100.597
726.0678,100.62
727.0320,100.597
727.9963,100.556
728.9605,100.517
729.9247,100.492
730.8890,100.482
731.8532,100.486
732.8174,100.502
733.7817,100.528
734.7459,100.557
735.7101,100.581
736.6744,100.588
737.6386,100.57
738.6028,100.528
739.5671,100.47
740.5313,100.415
741.4955,100.379
742.4598,100.371
743.4240,100.391
744.3882,100.427
745.3525,100.462
746.3167,100.483
747.2809,100.485
748.2452,100.468
749.2094,100.44
750.1736,100.412
751.1379,100.391
752.1021,100.381
753.0663,100.384
754.0306,100.396
754.9948,100.411
755.9590,100.423
756.9233,100.425
757.8875,100.415
758.8517,100.393
759.8160,100.36
760.7802,100.323
761.7444,100.287
762.7087,100.255
763.6729,100.226
764.6371,100.199
765.6014,100.17
766.5656,100.142
767.5298,100.118
768.4941,100.102
769.4583,100.094
770.4225,100.093
771.3868,100.091
772.3510,100.084
773.3152,100.069
774.2795,100.047
775.2437,100.019
776.2079,99.9878
777.1722,99.9532
778.1364,99.9168
779.1006,99.8813
780.0649,99.8495
781.0291,99.8224
781.9933,99.7991
782.9576,99.7779
783.9218,99.7587
784.8860,99.7445
785.8503,99.7385
786.8145,99.7407
787.7787,99.753
788.7430,99.8045
789.7072,99.8377
790.6714,99.848
791.6357,99.8396
792.5999,99.823
793.5641,99.8103
794.5284,99.8095
795.4926,99.8216
796.4568,99.8405
797.4211,99.8567
798.3853,99.8616
799.3495,99.8518
800.3138,99.8309
801.2780,99.8078
802.2422,99.7926
803.2065,99.7916
804.1707,99.8044
805.1349,99.8259
806.0992,99.8501
807.0634,99.8742
808.0276,99.8997
808.9919,99.9294
809.9561,99.9628
810.9203,99.9946
811.8846,100.017
812.8488,100.026
813.8130,100.022
814.7773,100.015
815.7415,100.015
816.7057,100.027
817.6700,100.05
818.6342,100.077
819.5984,100.101
820.5627,100.117
821.5269,100.125
822.4911,100.131
823.4554,100.139
824.4196,100.152
825.3839,100.168
826.3481,100.189
827.3123,100.209
828.2766,100.228
829.2408,100.243
830.2050,100.25
831.1693,100.25
832.1335,100.243
833.0977,100.234
834.0620,100.229
835.0262,100.232
835.9904,100.245
836.9547,100.269
837.9189,100.298
838.8831,100.329
839.8474,100.358
840.8116,100.382
841.7758,100.399
842.7401,100.409
843.7043,100.412
844.6685,100.408
845.6328,100.398
846.5970,100.384
847.5612,100.366
848.5255,100.343
849.4897,100.315
850.4539,100.279
851.4182,100.237
852.3824,100.19
853.3466,100.137
854.3109,100.08
855.2751,100.014
856.2393,99.938
857.2036,99.8502
858.1678,99.7523
859.1320,99.6489
860.0963,99.5449
861.0605,99.4445
862.0247,99.3499
862.9890,99.2616
863.9532,99.1795
864.9174,99.1034
865.8817,99.0323
866.8459,98.9646
867.8101,98.899
868.7744,98.8375
869.7386,98.7859
870.7028,98.7512
871.6671,98.7357
872.6313,98.7304
873.5955,98.7147
874.5598,98.6645
875.5240,98.5661
876.4882,98.4272
877.4525,98.2771
878.4167,98.154
879.3809,98.0869
880.3452,98.0819
881.3094,98.122
882.2736,98.1772
883.2379,98.2191
884.2021,98.2296
885.1663,98.2011
886.1306,98.133
887.0948,98.0288
888.0590,97.8977
889.0233,97.7561
889.9875,97.6264
890.9517,97.5292
891.9160,97.4756
892.8802,97.4626
893.8444,97.4768
894.8087,97.5035
895.7729,97.5345
896.7371,97.5714
897.7014,97.6221
898.6656,97.6951
899.6298,97.7953
900.5941,97.9227
901.5583,98.0739
902.5225,98.2435
903.4868,98.4247
904.4510,98.6105
905.4152,98.7932
906.3795,98.9663
907.3437,99.1255
908.3079,99.2687
909.2722,99.3968
910.2364,99.5123
911.2006,99.6186
912.1649,99.7185
913.1291,99.8126
914.0933,99.899
915.0576,99.9744
916.0218,100.036
916.9860,100.084
