TITLE,
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,24/04/24
TIME,11:56:40
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,0.964233
XUNITS,1/CM
YUNITS,TRANSMITTANCE
FIRSTX,  649.8934
LASTX, 4000.6047
NPOINTS,    3476
FIRSTY,    98.90447
MAXY,   101.60278
MINY,    69.74332
XYDATA
649.8934,98.9045
650.8576,98.7586
651.8218,98.6205
652.7861,98.5188
653.7503,98.4695
654.7145,98.4732
655.6788,98.5067
656.6430,98.5292
657.6072,98.5038
658.5715,98.4221
659.5357,98.3151
660.4999,98.2361
661.4642,98.219
662.4284,98.2428
663.3926,98.2317
664.3569,98.0752
665.3211,97.6448
666.2853,96.8275
667.2496,95.6645
668.2138,94.576
669.1780,94.1583
670.1423,94.4756
671.1065,95.0955
672.0707,95.6523
673.0350,95.9953
673.9992,96.0991
674.9634,96.0045
675.9277,95.7984
676.8919,95.5872
677.8561,95.4524
678.8204,95.4223
679.7846,95.4785
680.7488,95.582
681.7131,95.6962
682.6773,95.8015
683.6415,95.8983
684.6058,95.9988
685.5700,96.1126
686.5342,96.2343
687.4985,96.3414
688.4627,96.4054
689.4269,96.4086
690.3912,96.3573
691.3554,96.2858
692.3196,96.2516
693.2839,96.3154
694.2481,96.5007
695.2123,96.7708
696.1766,97.0578
697.1408,97.3044
698.1050,97.4803
699.0693,97.5833
700.0335,97.6308
700.9977,97.6481
701.9620,97.6558
702.9262,97.6628
703.8904,97.6669
704.8547,97.6607
705.8189,97.6375
706.7831,97.5948
707.7474,97.5333
708.7116,97.455
709.6758,97.361
710.6401,97.2509
711.6043,97.1209
712.5685,96.9629
713.5328,96.7636
714.4970,96.5075
715.4612,96.2674
716.4255,95.8791
717.3897,95.4646
718.3539,95.081
719.3182,94.7919
720.2824,94.638
721.2466,94.6113
722.2109,94.6547
723.1751,94.6923
724.1393,94.6641
725.1036,94.5484
726.0678,94.3617
727.0320,94.1441
727.9963,93.9367
728.9605,93.7634
729.9247,93.6239
730.8890,93.5
731.8532,93.3677
732.8174,93.2069
733.7817,93.0041
734.7459,92.7515
735.7101,92.4438
736.6744,92.0783
737.6386,91.6578
738.6028,91.1925
739.5671,90.6993
740.5313,90.1974
741.4955,89.7035
742.4598,89.2285
743.4240,88.7791
744.3882,88.3608
745.3525,87.9798
746.3167,87.6426
747.2809,87.3543
748.2452,87.1176
749.2094,86.934
750.1736,86.8041
751.1379,86.7273
752.1021,86.6992
753.0663,86.7095
754.0306,86.744
754.9948,86.7894
755.9590,86.8385
756.9233,86.8912
757.8875,86.95
758.8517,87.0135
759.8160,87.0746
760.7802,87.1234
761.7444,87.1555
762.7087,87.1763
763.6729,87.1992
764.6371,87.2387
765.6014,87.3024
766.5656,87.3888
767.5298,87.4905
768.4941,87.6007
769.4583,87.7172
770.4225,87.842
771.3868,87.9772
772.3510,88.1201
773.3152,88.2602
774.2795,88.3813
775.2437,88.4664
776.2079,88.5041
777.1722,88.4931
778.1364,88.4418
779.1006,88.3619
780.0649,88.2617
781.0291,88.1419
781.9933,87.9981
782.9576,87.8291
783.9218,87.6436
784.8860,87.4595
785.8503,87.296
786.8145,87.1614
787.7787,87.048
788.7430,86.9357
789.7072,86.804
790.6714,86.6435
791.6357,86.4598
792.5999,86.2681
793.5641,86.0816
794.5284,85.9046
795.4926,85.731
796.4568,85.5502
797.4211,85.354
798.3853,85.1406
799.3495,84.9133
800.3138,84.6767
801.2780,84.434
802.2422,84.1868
803.2065,83.9374
804.1707,83.6902
805.1349,83.4523
806.0992,83.2316
807.0634,83.0356
808.0276,82.871
808.9919,82.7445
809.9561,82.6621
810.9203,82.6276
811.8846,82.639
812.8488,82.6865
813.8130,82.7543
814.7773,82.8254
815.7415,82.888
816.7057,82.9391
817.6700,82.983
818.6342,83.0257
819.5984,83.0701
820.5627,83.1136
821.5269,83.1501
822.4911,83.1745
823.4554,83.1854
824.4196,83.1846
825.3839,83.1747
826.3481,83.1564
827.3123,83.1288
828.2766,83.0921
829.2408,83.0495
830.2050,83.0069
831.1693,82.9688
832.1335,82.9347
833.0977,82.8966
834.0620,82.842
835.0262,82.759
835.9904,82.6415
836.9547,82.4919
837.9189,82.3186
838.8831,82.1324
839.8474,81.9414
840.8116,81.7494
841.7758,81.5558
842.7401,81.3576
843.7043,81.151
844.6685,80.9334
845.6328,80.7042
846.5970,80.4663
847.5612,80.2262
848.5255,79.993
849.4897,79.7764
850.4539,79.584
851.4182,79.4193
852.3824,79.2818
853.3466,79.1687
854.3109,79.0776
855.2751,79.0075
856.2393,78.9587
857.2036,78.9306
858.1678,78.9203
859.1320,78.923
860.0963,78.9339
861.0605,78.9517
862.0247,78.9801
862.9890,79.0275
863.9532,79.1031
864.9174,79.2127
865.8817,79.3558
866.8459,79.5257
867.8101,79.7124
868.7744,79.9057
869.7386,80.0969
870.7028,80.279
871.6671,80.4452
872.6313,80.5886
873.5955,80.7039
874.5598,80.7895
875.5240,80.8493
876.4882,80.8916
877.4525,80.9266
878.4167,80.9624
879.3809,81.0033
880.3452,81.0499
881.3094,81.1024
882.2736,81.1628
883.2379,81.2367
884.2021,81.3309
885.1663,81.4503
886.1306,81.5952
887.0948,81.7606
888.0590,81.9394
889.0233,82.1266
889.9875,82.3217
890.9517,82.5292
891.9160,82.7551
892.8802,83.0032
893.8444,83.273
894.8087,83.5603
895.7729,83.8593
896.7371,84.165
897.7014,84.4741
898.6656,84.7844
899.6298,85.0935
900.5941,85.3981
901.5583,85.6942
902.5225,85.9775
903.4868,86.2442
904.4510,86.4906
905.4152,86.7133
906.3795,86.9088
