TITLE,
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,24/04/24
TIME,11:05:06
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,0.964233
XUNITS,1/CM
YUNITS,TRANSMITTANCE
FIRSTX,  649.8934
LASTX, 4000.6047
NPOINTS,    3476
FIRSTY,    98.53346
MAXY,   105.23814
MINY,    45.77606
XYDATA
649.8934,98.5335
650.8576,98.3962
651.8218,98.2237
652.7861,98.0364
653.7503,97.8522
654.7145,97.7013
655.6788,97.5957
656.6430,97.5163
657.6072,97.425
658.5715,97.295
659.5357,97.1322
660.4999,96.9674
661.4642,96.8244
662.4284,96.6908
663.3926,96.5174
664.3569,96.2384
665.3211,95.7908
666.2853,95.1456
667.2496,94.3923
668.2138,93.8207
669.1780,93.712
670.1423,93.9764
671.1065,94.3197
672.0707,94.5699
673.0350,94.697
673.9992,94.7303
674.9634,94.714
675.9277,94.6909
676.8919,94.6959
677.8561,94.7523
678.8204,94.8739
679.7846,95.0685
680.7488,95.3342
681.7131,95.6548
682.6773,96.0016
683.6415,96.3448
684.6058,96.6648
685.5700,96.9524
686.5342,97.1981
687.4985,97.3831
688.4627,97.4787
689.4269,97.4553
690.3912,97.2999
691.3554,97.0464
692.3196,96.8095
693.2839,96.7588
694.2481,96.9882
695.2123,97.4178
696.1766,97.8805
697.1408,98.2467
698.1050,98.4595
699.0693,98.5213
700.0335,98.4753
700.9977,98.3827
701.9620,98.2974
702.9262,98.2492
703.8904,98.2418
704.8547,98.2619
705.8189,98.2907
706.7831,98.311
707.7474,98.3129
708.7116,98.2939
709.6758,98.2572
710.6401,98.2066
711.6043,98.1421
712.5685,98.0567
713.5328,97.9394
714.4970,97.8728
715.4612,98.1831
716.4255,98.0902
717.3897,97.9968
718.3539,97.9437
719.3182,97.9647
720.2824,98.0695
721.2466,98.2363
722.2109,98.4233
723.1751,98.5908
724.1393,98.7195
725.1036,98.814
726.0678,98.8947
727.0320,98.9861
727.9963,99.1064
728.9605,99.2628
729.9247,99.4517
730.8890,99.6613
731.8532,99.8762
732.8174,100.08
733.7817,100.259
734.7459,100.404
735.7101,100.512
736.6744,100.588
737.6386,100.64
738.6028,100.682
739.5671,100.724
740.5313,100.776
741.4955,100.839
742.4598,100.906
743.4240,100.966
744.3882,101.011
745.3525,101.04
746.3167,101.058
747.2809,101.072
748.2452,101.084
749.2094,101.093
750.1736,101.093
751.1379,101.084
752.1021,101.07
753.0663,101.057
754.0306,101.049
754.9948,101.044
755.9590,101.039
756.9233,101.033
757.8875,101.035
758.8517,101.059
759.8160,101.117
760.7802,101.212
761.7444,101.336
762.7087,101.468
763.6729,101.59
764.6371,101.691
765.6014,101.773
766.5656,101.842
767.5298,101.91
768.4941,101.98
769.4583,102.052
770.4225,102.119
771.3868,102.175
772.3510,102.214
773.3152,102.234
774.2795,102.238
775.2437,102.227
776.2079,102.206
777.1722,102.179
778.1364,102.15
779.1006,102.125
780.0649,102.107
781.0291,102.097
781.9933,102.091
782.9576,102.083
783.9218,102.07
784.8860,102.05
785.8503,102.027
786.8145,102.002
787.7787,101.978
788.7430,101.952
789.7072,101.923
790.6714,101.891
791.6357,101.86
792.5999,101.832
793.5641,101.805
794.5284,101.772
795.4926,101.72
796.4568,101.644
797.4211,101.546
798.3853,101.438
799.3495,101.337
800.3138,101.253
801.2780,101.181
802.2422,101.109
803.2065,101.015
804.1707,100.885
805.1349,100.713
806.0992,100.501
807.0634,100.26
808.0276,100.003
808.9919,99.7406
809.9561,99.4831
810.9203,99.2375
811.8846,99.0086
812.8488,98.7991
813.8130,98.6104
814.7773,98.443
815.7415,98.2974
816.7057,98.1748
817.6700,98.0757
818.6342,97.9999
819.5984,97.9458
820.5627,97.9106
821.5269,97.8909
822.4911,97.8826
823.4554,97.8814
824.4196,97.883
825.3839,97.884
826.3481,97.8821
827.3123,97.8758
828.2766,97.8616
829.2408,97.8315
830.2050,97.7709
831.1693,97.6606
832.1335,97.4821
833.0977,97.2243
834.0620,96.8886
835.0262,96.4902
835.9904,96.0517
836.9547,95.5957
837.9189,95.1364
838.8831,94.6768
839.8474,94.2122
840.8116,93.7369
841.7758,93.2523
842.7401,92.7712
843.7043,92.3149
844.6685,91.9072
845.6328,91.5655
846.5970,91.2953
847.5612,91.0901
848.5255,90.936
849.4897,90.8192
850.4539,90.7323
851.4182,90.6749
852.3824,90.651
853.3466,90.6631
854.3109,90.7075
855.2751,90.7744
856.2393,90.8512
857.2036,90.928
858.1678,91.001
859.1320,91.0735
860.0963,91.1531
861.0605,91.2485
862.0247,91.3672
862.9890,91.5144
863.9532,91.6937
864.9174,91.9079
865.8817,92.1588
866.8459,92.4484
867.8101,92.7787
868.7744,93.1522
869.7386,93.5702
870.7028,94.0302
871.6671,94.5217
872.6313,95.0239
873.5955,95.5083
874.5598,95.9451
875.5240,96.3129
876.4882,96.6056
877.4525,96.833
878.4167,97.0146
879.3809,97.1702
880.3452,97.3118
881.3094,97.4416
882.2736,97.5552
883.2379,97.6469
884.2021,97.7129
885.1663,97.7504
886.1306,97.7559
887.0948,97.7235
888.0590,97.6485
889.0233,97.5312
889.9875,97.3786
890.9517,97.2027
891.9160,97.0138
892.8802,96.8154
893.8444,96.6029
894.8087,96.3673
895.7729,96.1004
896.7371,95.7997
897.7014,95.4675
898.6656,95.1095
899.6298,94.7312
900.5941,94.3374
901.5583,93.9331
902.5225,93.5248
903.4868,93.1201
904.4510,92.7262
905.4152,92.3475
906.3795,91.9846
907.3437,91.6356
908.3079,91.2984
909.2722,90.9739
910.2364,90.6672
911.2006,90.3864
912.1649,90.1406
