TITLE,
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,24/04/24
TIME,11:39:49
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,0.964233
XUNITS,1/CM
YUNITS,TRANSMITTANCE
FIRSTX,  649.8934
LASTX, 4000.6047
NPOINTS,    3476
FIRSTY,    99.22964
MAXY,   101.27249
MINY,    57.39479
XYDATA
649.8934,99.2296
650.8576,99.2578
651.8218,99.2743
652.7861,99.2755
653.7503,99.2568
654.7145,99.2206
655.6788,99.1721
656.6430,99.1164
657.6072,99.0604
658.5715,99.0174
659.5357,99.0065
660.4999,99.0411
661.4642,99.1093
662.4284,99.166
663.3926,99.1398
664.3569,98.9415
665.3211,98.4631
666.2853,97.6015
667.2496,96.3903
668.2138,95.2274
669.1780,94.6997
670.1423,94.8949
671.1065,95.4093
672.0707,95.8905
673.0350,96.1926
673.9992,96.2919
674.9634,96.2211
675.9277,96.0435
676.8919,95.8291
677.8561,95.6305
678.8204,95.4749
679.7846,95.3757
680.7488,95.3441
681.7131,95.3868
682.6773,95.4966
683.6415,95.6505
684.6058,95.8188
685.5700,95.9757
686.5342,96.1038
687.4985,96.1924
688.4627,96.2349
689.4269,96.229
690.3912,96.1794
691.3554,96.1063
692.3196,96.0541
693.2839,96.0798
694.2481,96.2063
695.2123,96.3909
696.1766,96.5666
697.1408,96.6905
698.1050,96.7513
699.0693,96.7544
700.0335,96.7105
700.9977,96.6324
701.9620,96.5362
702.9262,96.4422
703.8904,96.3724
704.8547,96.3411
705.8189,96.3455
706.7831,96.3618
707.7474,96.3548
708.7116,96.296
709.6758,96.1776
710.6401,96.0158
711.6043,95.8381
712.5685,95.6637
713.5328,95.4888
714.4970,95.2859
715.4612,95.1492
716.4255,94.7971
717.3897,94.3916
718.3539,93.9945
719.3182,93.6845
720.2824,93.5191
721.2466,93.5002
722.2109,93.5728
723.1751,93.6551
724.1393,93.6789
725.1036,93.613
726.0678,93.4663
727.0320,93.2747
727.9963,93.0828
728.9605,92.9252
729.9247,92.8158
730.8890,92.747
731.8532,92.6955
732.8174,92.6332
733.7817,92.5371
734.7459,92.396
735.7101,92.2111
736.6744,91.9909
737.6386,91.7446
738.6028,91.4763
739.5671,91.1865
740.5313,90.8749
741.4955,90.5452
742.4598,90.2055
743.4240,89.8662
744.3882,89.5368
745.3525,89.225
746.3167,88.9389
747.2809,88.6868
748.2452,88.4758
749.2094,88.3066
750.1736,88.169
751.1379,88.0431
752.1021,87.9073
753.0663,87.7476
754.0306,87.5646
754.9948,87.3715
755.9590,87.1849
756.9233,87.0138
757.8875,86.8556
758.8517,86.6997
759.8160,86.5372
760.7802,86.3683
761.7444,86.2022
762.7087,86.0496
763.6729,85.9144
764.6371,85.7906
765.6014,85.6667
766.5656,85.5354
767.5298,85.3995
768.4941,85.2709
769.4583,85.1624
770.4225,85.0788
771.3868,85.0121
772.3510,84.9442
773.3152,84.854
774.2795,84.7263
775.2437,84.5562
776.2079,84.35
777.1722,84.1208
778.1364,83.8828
779.1006,83.6458
780.0649,83.413
781.0291,83.1828
781.9933,82.954
782.9576,82.73
783.9218,82.5192
784.8860,82.3303
785.8503,82.165
786.8145,82.0142
787.7787,81.8601
788.7430,81.684
789.7072,81.476
790.6714,81.2391
791.6357,80.987
792.5999,80.737
793.5641,80.5018
794.5284,80.2861
795.4926,80.0858
796.4568,79.8914
797.4211,79.6911
798.3853,79.4735
799.3495,79.2312
800.3138,78.9623
801.2780,78.6724
802.2422,78.3719
803.2065,78.0719
804.1707,77.7786
805.1349,77.4906
806.0992,77.2002
807.0634,76.8988
808.0276,76.5826
808.9919,76.2556
809.9561,75.9281
810.9203,75.6121
811.8846,75.3165
812.8488,75.0442
813.8130,74.793
814.7773,74.5587
815.7415,74.3371
816.7057,74.1259
817.6700,73.9238
818.6342,73.7297
819.5984,73.5418
820.5627,73.3594
821.5269,73.1846
822.4911,73.0227
823.4554,72.8815
824.4196,72.7673
825.3839,72.682
826.3481,72.6205
827.3123,72.5719
828.2766,72.5224
829.2408,72.4597
830.2050,72.3755
831.1693,72.2666
832.1335,72.1341
833.0977,71.9813
834.0620,71.8117
835.0262,71.6282
835.9904,71.4324
836.9547,71.2259
837.9189,71.0106
838.8831,70.7897
839.8474,70.5671
840.8116,70.3459
841.7758,70.1282
842.7401,69.9148
843.7043,69.7066
844.6685,69.5056
845.6328,69.3151
846.5970,69.1385
847.5612,68.9779
848.5255,68.8335
849.4897,68.7051
850.4539,68.5933
851.4182,68.5
852.3824,68.4271
853.3466,68.3744
854.3109,68.3387
855.2751,68.3144
856.2393,68.2951
857.2036,68.2761
858.1678,68.2547
859.1320,68.2302
860.0963,68.2044
861.0605,68.1823
862.0247,68.1727
862.9890,68.1867
863.9532,68.2334
864.9174,68.3149
865.8817,68.4229
866.8459,68.5417
867.8101,68.655
868.7744,68.7536
869.7386,68.8391
870.7028,68.9201
871.6671,69.0043
872.6313,69.0906
873.5955,69.1676
874.5598,69.2198
875.5240,69.2362
876.4882,69.217
877.4525,69.1735
878.4167,69.122
879.3809,69.0755
880.3452,69.0388
881.3094,69.0097
882.2736,68.9838
883.2379,68.9599
884.2021,68.9419
885.1663,68.9359
886.1306,68.9466
887.0948,68.9751
888.0590,69.0206
889.0233,69.0842
889.9875,69.1732
890.9517,69.3002
891.9160,69.4791
892.8802,69.7195
893.8444,70.0229
894.8087,70.3836
895.7729,70.7923
896.7371,71.2405
897.7014,71.7217
898.6656,72.2298
899.6298,72.7562
900.5941,73.2887
901.5583,73.8131
902.5225,74.3172
903.4868,74.7939
904.4510,75.2415
905.4152,75.6614
