TITLE,
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,24/04/24
TIME,15:41:53
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,0.964233
XUNITS,1/CM
YUNITS,TRANSMITTANCE
FIRSTX,  649.8934
LASTX, 4000.6047
NPOINTS,    3476
FIRSTY,    99.51228
MAXY,   102.22675
MINY,    77.42885
XYDATA
649.8934,99.5123
650.8576,99.5051
651.8218,99.4625
652.7861,99.3874
653.7503,99.2752
654.7145,99.129
655.6788,98.9625
656.6430,98.7979
657.6072,98.6555
658.5715,98.543
659.5357,98.4525
660.4999,98.37
661.4642,98.2915
662.4284,98.2317
663.3926,98.2204
664.3569,98.2917
665.3211,98.4773
666.2853,98.7886
667.2496,99.1635
668.2138,99.4142
669.1780,99.3744
670.1423,99.1361
671.1065,98.9054
672.0707,98.7841
673.0350,98.7787
673.9992,98.8582
674.9634,98.9819
675.9277,99.1115
676.8919,99.2247
677.8561,99.318
678.8204,99.3974
679.7846,99.4649
680.7488,99.5163
681.7131,99.5486
682.6773,99.5667
683.6415,99.5825
684.6058,99.6067
685.5700,99.6407
686.5342,99.6747
687.4985,99.6919
688.4627,99.6767
689.4269,99.6228
690.3912,99.5371
691.3554,99.4378
692.3196,99.3459
693.2839,99.2744
694.2481,99.2227
695.2123,99.1775
696.1766,99.1221
697.1408,99.0482
698.1050,98.9623
699.0693,98.8825
700.0335,98.8252
700.9977,98.7943
701.9620,98.779
702.9262,98.7615
703.8904,98.7283
704.8547,98.6769
705.8189,98.6143
706.7831,98.5503
707.7474,98.491
708.7116,98.4373
709.6758,98.3882
710.6401,98.3443
711.6043,98.3086
712.5685,98.2847
713.5328,98.2742
714.4970,98.2765
715.4612,98.2865
716.4255,98.3425
717.3897,98.4337
718.3539,98.5237
719.3182,98.6035
720.2824,98.6644
721.2466,98.7039
722.2109,98.7283
723.1751,98.7495
724.1393,98.7784
725.1036,98.8196
726.0678,98.8705
727.0320,98.9232
727.9963,98.9701
728.9605,99.0085
729.9247,99.0424
730.8890,99.0799
731.8532,99.1276
732.8174,99.1858
733.7817,99.2466
734.7459,99.2973
735.7101,99.3278
736.6744,99.3368
737.6386,99.3331
738.6028,99.3307
739.5671,99.3401
740.5313,99.3622
741.4955,99.3883
742.4598,99.4069
743.4240,99.4125
744.3882,99.4087
745.3525,99.4057
746.3167,99.4126
747.2809,99.4317
748.2452,99.4592
749.2094,99.4889
750.1736,99.5175
751.1379,99.5451
752.1021,99.5726
753.0663,99.598
754.0306,99.6163
754.9948,99.6221
755.9590,99.6137
756.9233,99.5946
757.8875,99.5714
758.8517,99.5493
759.8160,99.5299
760.7802,99.5118
761.7444,99.4928
762.7087,99.4731
763.6729,99.4561
764.6371,99.4463
765.6014,99.4473
766.5656,99.4598
767.5298,99.4808
768.4941,99.5049
769.4583,99.5257
770.4225,99.5376
771.3868,99.5377
772.3510,99.5272
773.3152,99.5113
774.2795,99.4976
775.2437,99.4929
776.2079,99.4997
777.1722,99.5148
778.1364,99.5312
779.1006,99.5424
780.0649,99.547
781.0291,99.5494
781.9933,99.5571
782.9576,99.5751
783.9218,99.6007
784.8860,99.623
785.8503,99.6283
786.8145,99.6079
787.7787,99.5639
788.7430,99.5096
789.7072,99.4631
790.6714,99.4373
791.6357,99.4331
792.5999,99.4389
793.5641,99.4378
794.5284,99.4162
795.4926,99.3713
796.4568,99.3104
797.4211,99.2453
798.3853,99.1849
799.3495,99.1304
800.3138,99.0763
801.2780,99.0142
802.2422,98.9386
803.2065,98.8502
804.1707,98.757
805.1349,98.6724
806.0992,98.6115
807.0634,98.5862
808.0276,98.6006
808.9919,98.6486
809.9561,98.7166
810.9203,98.7892
811.8846,98.8556
812.8488,98.9129
813.8130,98.9646
814.7773,99.0156
815.7415,99.0683
816.7057,99.1224
817.6700,99.1769
818.6342,99.2328
819.5984,99.2929
820.5627,99.359
821.5269,99.4293
822.4911,99.4987
823.4554,99.5615
824.4196,99.614
825.3839,99.6565
826.3481,99.6911
827.3123,99.7199
828.2766,99.7429
829.2408,99.7586
830.2050,99.7653
831.1693,99.7626
832.1335,99.7522
833.0977,99.7378
834.0620,99.7249
835.0262,99.7188
835.9904,99.7221
836.9547,99.7437
837.9189,99.7671
838.8831,99.7814
839.8474,99.779
840.8116,99.7579
841.7758,99.7217
842.7401,99.6771
843.7043,99.6299
844.6685,99.5819
845.6328,99.5315
846.5970,99.4751
847.5612,99.4097
848.5255,99.3343
849.4897,99.2503
850.4539,99.1607
851.4182,99.0691
852.3824,98.9784
853.3466,98.8907
854.3109,98.8071
855.2751,98.7283
856.2393,98.6555
857.2036,98.5899
858.1678,98.532
859.1320,98.4805
860.0963,98.4319
861.0605,98.3824
862.0247,98.3291
862.9890,98.2717
863.9532,98.2118
864.9174,98.1517
865.8817,98.0933
866.8459,98.0377
867.8101,97.9848
868.7744,97.9334
869.7386,97.8812
870.7028,97.8254
871.6671,97.7642
872.6313,97.6984
873.5955,97.6327
874.5598,97.5723
875.5240,97.5204
876.4882,97.4751
877.4525,97.4307
878.4167,97.3811
879.3809,97.3244
880.3452,97.2634
881.3094,97.203
882.2736,97.1447
883.2379,97.0847
884.2021,97.0155
885.1663,96.9315
886.1306,96.8344
887.0948,96.7322
888.0590,96.6353
889.0233,96.5496
889.9875,96.473
890.9517,96.3977
891.9160,96.3164
892.8802,96.2289
893.8444,96.1434
894.8087,96.0735
895.7729,96.0312
896.7371,96.0217
897.7014,96.0421
898.6656,96.0845
899.6298,96.1397
900.5941,96.201
901.5583,96.2642
902.5225,96.327
903.4868,96.3877
904.4510,96.4455
905.4152,96.5001
