TITLE,
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,24/04/24
TIME,15:46:55
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,0.964233
XUNITS,1/CM
YUNITS,TRANSMITTANCE
FIRSTX,  649.8934
LASTX, 4000.6047
NPOINTS,    3476
FIRSTY,    98.84380
MAXY,   101.76616
MINY,    78.95740
XYDATA
649.8934,98.8438
650.8576,98.9207
651.8218,98.9749
652.7861,99.0111
653.7503,99.0318
654.7145,99.0421
655.6788,99.0479
656.6430,99.053
657.6072,99.0568
658.5715,99.0528
659.5357,99.0326
660.4999,98.9953
661.4642,98.9565
662.4284,98.9473
663.3926,99.0046
664.3569,99.1654
665.3211,99.4637
666.2853,99.9123
667.2496,100.436
668.2138,100.799
669.1780,100.782
670.1423,100.49
671.1065,100.182
672.0707,99.9906
673.0350,99.9311
673.9992,99.9705
674.9634,100.061
675.9277,100.158
676.8919,100.231
677.8561,100.279
678.8204,100.314
679.7846,100.352
680.7488,100.394
681.7131,100.437
682.6773,100.473
683.6415,100.499
684.6058,100.514
685.5700,100.52
686.5342,100.517
687.4985,100.506
688.4627,100.482
689.4269,100.445
690.3912,100.396
691.3554,100.341
692.3196,100.288
693.2839,100.239
694.2481,100.195
695.2123,100.173
696.1766,100.156
697.1408,100.126
698.1050,100.081
699.0693,100.031
700.0335,99.9888
700.9977,99.9662
701.9620,99.9671
702.9262,99.9895
703.8904,100.027
704.8547,100.071
705.8189,100.113
706.7831,100.147
707.7474,100.168
708.7116,100.181
709.6758,100.195
710.6401,100.221
711.6043,100.262
712.5685,100.315
713.5328,100.369
714.4970,100.415
715.4612,100.437
716.4255,100.471
717.3897,100.507
718.3539,100.548
719.3182,100.585
720.2824,100.606
721.2466,100.6
722.2109,100.569
723.1751,100.524
724.1393,100.477
725.1036,100.437
726.0678,100.404
727.0320,100.375
727.9963,100.347
728.9605,100.319
729.9247,100.29
730.8890,100.266
731.8532,100.247
732.8174,100.233
733.7817,100.223
734.7459,100.21
735.7101,100.19
736.6744,100.16
737.6386,100.121
738.6028,100.078
739.5671,100.04
740.5313,100.01
741.4955,99.9925
742.4598,99.9832
743.4240,99.9762
744.3882,99.9636
745.3525,99.9371
746.3167,99.8904
747.2809,99.8218
748.2452,99.7362
749.2094,99.6453
750.1736,99.5639
751.1379,99.5037
752.1021,99.4673
753.0663,99.4466
754.0306,99.4262
754.9948,99.3904
755.9590,99.33
756.9233,99.2454
757.8875,99.1452
758.8517,99.0419
759.8160,98.948
760.7802,98.8724
761.7444,98.8191
762.7087,98.7875
763.6729,98.7736
764.6371,98.772
765.6014,98.7785
766.5656,98.7914
767.5298,98.8116
768.4941,98.8405
769.4583,98.8774
770.4225,98.9183
771.3868,98.9565
772.3510,98.9854
773.3152,99.0012
774.2795,99.0036
775.2437,98.9956
776.2079,98.9808
777.1722,98.9623
778.1364,98.9416
779.1006,98.9197
780.0649,98.8978
781.0291,98.8775
781.9933,98.8602
782.9576,98.8453
783.9218,98.8307
784.8860,98.8131
785.8503,98.7897
786.8145,98.7595
787.7787,98.7232
788.7430,98.6821
789.7072,98.6365
790.6714,98.5861
791.6357,98.5304
792.5999,98.4697
793.5641,98.4066
794.5284,98.3449
795.4926,98.2889
796.4568,98.2412
797.4211,98.2019
798.3853,98.1679
799.3495,98.1339
800.3138,98.0931
801.2780,98.0397
802.2422,97.9698
803.2065,97.884
804.1707,97.7877
805.1349,97.6907
806.0992,97.6043
807.0634,97.5374
808.0276,97.4925
808.9919,97.4645
809.9561,97.4434
810.9203,97.4193
811.8846,97.3876
812.8488,97.3508
813.8130,97.3151
814.7773,97.2851
815.7415,97.2597
816.7057,97.2317
817.6700,97.1936
818.6342,97.1428
819.5984,97.085
820.5627,97.0317
821.5269,96.9949
822.4911,96.9811
823.4554,96.9893
824.4196,97.0119
825.3839,97.0397
826.3481,97.0653
827.3123,97.0855
828.2766,97.1012
829.2408,97.1158
830.2050,97.1331
831.1693,97.155
832.1335,97.1805
833.0977,97.2056
834.0620,97.2245
835.0262,97.2316
835.9904,97.2244
836.9547,97.2045
837.9189,97.1775
838.8831,97.1512
839.8474,97.1325
840.8116,97.1252
841.7758,97.1283
842.7401,97.1382
843.7043,97.151
844.6685,97.1647
845.6328,97.1798
846.5970,97.1977
847.5612,97.2181
848.5255,97.2388
849.4897,97.2572
850.4539,97.2735
851.4182,97.2915
852.3824,97.3171
853.3466,97.3542
854.3109,97.4023
855.2751,97.4572
856.2393,97.5142
857.2036,97.5724
858.1678,97.6346
859.1320,97.7049
860.0963,97.7843
861.0605,97.8695
862.0247,97.954
862.9890,98.0322
863.9532,98.1025
864.9174,98.1671
865.8817,98.2296
866.8459,98.2918
867.8101,98.3525
868.7744,98.4077
869.7386,98.4529
870.7028,98.4854
871.6671,98.5049
872.6313,98.5142
873.5955,98.5173
874.5598,98.5184
875.5240,98.5206
876.4882,98.524
877.4525,98.5268
878.4167,98.5253
879.3809,98.5166
880.3452,98.5005
881.3094,98.4804
882.2736,98.463
883.2379,98.4557
884.2021,98.4637
885.1663,98.4878
886.1306,98.5246
887.0948,98.5672
888.0590,98.6079
889.0233,98.6394
889.9875,98.6551
890.9517,98.649
891.9160,98.6169
892.8802,98.5577
893.8444,98.4753
894.8087,98.3783
895.7729,98.2769
896.7371,98.1783
897.7014,98.0833
898.6656,97.9862
899.6298,97.8789
900.5941,97.7557
901.5583,97.6168
902.5225,97.4675
903.4868,97.3156
904.4510,97.1665
905.4152,97.023
906.3795,96.8852
907.3437,96.754
908.3079,96.6331
909.2722,96.5291
910.2364,96.4503
911.2006,96.405
