TITLE,
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,24/04/24
TIME,14:33:30
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,0.964233
XUNITS,1/CM
YUNITS,TRANSMITTANCE
FIRSTX,  649.8934
LASTX, 4000.6047
NPOINTS,    3476
FIRSTY,    98.97701
MAXY,   102.14708
MINY,    80.02615
XYDATA
649.8934,98.977
650.8576,99.1507
651.8218,99.3041
652.7861,99.4056
653.7503,99.4361
654.7145,99.4054
655.6788,99.3465
656.6430,99.2962
657.6072,99.2758
658.5715,99.2838
659.5357,99.3045
660.4999,99.3261
661.4642,99.3546
662.4284,99.4124
663.3926,99.527
664.3569,99.7216
665.3211,100.01
666.2853,100.378
667.2496,100.739
668.2138,100.907
669.1780,100.775
670.1423,100.489
671.1065,100.248
672.0707,100.123
673.0350,100.103
673.9992,100.156
674.9634,100.249
675.9277,100.357
676.8919,100.458
677.8561,100.542
678.8204,100.603
679.7846,100.636
680.7488,100.642
681.7131,100.625
682.6773,100.593
683.6415,100.554
684.6058,100.515
685.5700,100.48
686.5342,100.451
687.4985,100.424
688.4627,100.394
689.4269,100.352
690.3912,100.293
691.3554,100.225
692.3196,100.165
693.2839,100.134
694.2481,100.137
695.2123,100.147
696.1766,100.129
697.1408,100.066
698.1050,99.9683
699.0693,99.8659
700.0335,99.7874
700.9977,99.7452
701.9620,99.731
702.9262,99.7239
703.8904,99.7061
704.8547,99.6728
705.8189,99.6326
706.7831,99.5984
707.7474,99.5783
708.7116,99.6062
709.6758,99.6672
710.6401,99.729
711.6043,99.7869
712.5685,99.8391
713.5328,99.8855
714.4970,99.9267
715.4612,100.001
716.4255,100.029
717.3897,100.05
718.3539,100.056
719.3182,100.042
720.2824,100.004
721.2466,99.9475
722.2109,99.883
723.1751,99.8232
724.1393,99.7754
725.1036,99.7399
726.0678,99.7116
727.0320,99.6833
727.9963,99.6502
728.9605,99.6125
729.9247,99.5754
730.8890,99.5472
731.8532,99.5343
732.8174,99.5364
733.7817,99.5443
734.7459,99.5412
735.7101,99.5089
736.6744,99.4368
737.6386,99.3279
738.6028,99.199
739.5671,99.0736
740.5313,98.9713
741.4955,98.9003
742.4598,98.8551
743.4240,98.8217
744.3882,98.7859
745.3525,98.7391
746.3167,98.6811
747.2809,98.6176
748.2452,98.5578
749.2094,98.5099
750.1736,98.4778
751.1379,98.4584
752.1021,98.441
753.0663,98.4103
754.0306,98.3544
754.9948,98.2717
755.9590,98.174
756.9233,98.082
757.8875,98.0139
758.8517,97.9755
759.8160,97.9576
760.7802,97.9417
761.7444,97.9131
762.7087,97.8687
763.6729,97.8186
764.6371,97.7775
765.6014,97.7552
766.5656,97.7509
767.5298,97.7552
768.4941,97.758
769.4583,97.7542
770.4225,97.7457
771.3868,97.7377
772.3510,97.7343
773.3152,97.7355
774.2795,97.7384
775.2437,97.7392
776.2079,97.7349
777.1722,97.7237
778.1364,97.704
779.1006,97.6743
780.0649,97.6347
781.0291,97.5874
781.9933,97.5373
782.9576,97.4891
783.9218,97.4451
784.8860,97.4024
785.8503,97.3531
786.8145,97.2878
787.7787,97.1995
788.7430,97.0879
789.7072,96.9598
790.6714,96.8274
791.6357,96.7036
792.5999,96.5981
793.5641,96.5149
794.5284,96.4525
795.4926,96.4057
796.4568,96.3673
797.4211,96.3291
798.3853,96.2825
799.3495,96.2203
800.3138,96.1378
801.2780,96.0357
802.2422,95.9195
803.2065,95.7986
804.1707,95.6833
805.1349,95.5814
806.0992,95.4968
807.0634,95.429
808.0276,95.3737
808.9919,95.325
809.9561,95.2778
810.9203,95.2292
811.8846,95.1799
812.8488,95.1342
813.8130,95.0982
814.7773,95.0777
815.7415,95.0767
816.7057,95.0965
817.6700,95.1366
818.6342,95.1972
819.5984,95.2805
820.5627,95.391
821.5269,95.5343
822.4911,95.7133
823.4554,95.9253
824.4196,96.1606
825.3839,96.4037
826.3481,96.6376
827.3123,96.8492
828.2766,97.0328
829.2408,97.19
830.2050,97.3277
831.1693,97.4528
832.1335,97.5694
833.0977,97.6766
834.0620,97.769
835.0262,97.8394
835.9904,97.8804
836.9547,97.8869
837.9189,97.8564
838.8831,97.7889
839.8474,97.6863
840.8116,97.552
841.7758,97.391
842.7401,97.2101
843.7043,97.0181
844.6685,96.8239
845.6328,96.6341
846.5970,96.4509
847.5612,96.2733
848.5255,96.1002
849.4897,95.9351
850.4539,95.7874
851.4182,95.67
852.3824,95.5935
853.3466,95.5605
854.3109,95.5648
855.2751,95.5952
856.2393,95.6421
857.2036,95.7018
858.1678,95.777
859.1320,95.8721
860.0963,95.989
861.0605,96.1237
862.0247,96.2675
862.9890,96.4104
863.9532,96.5449
864.9174,96.6685
865.8817,96.783
866.8459,96.8924
867.8101,96.9995
868.7744,97.1035
869.7386,97.2002
870.7028,97.2842
871.6671,97.3538
872.6313,97.4131
873.5955,97.4724
874.5598,97.5438
875.5240,97.6351
876.4882,97.746
877.4525,97.8688
878.4167,97.9928
879.3809,98.1107
880.3452,98.2217
881.3094,98.3307
882.2736,98.4437
883.2379,98.5645
884.2021,98.6931
885.1663,98.8279
886.1306,98.9681
887.0948,99.1151
888.0590,99.2694
889.0233,99.4277
889.9875,99.5811
890.9517,99.7165
891.9160,99.8232
892.8802,99.8983
893.8444,99.9495
894.8087,99.9915
895.7729,100.039
896.7371,100.098
897.7014,100.166
898.6656,100.243
899.6298,100.315
900.5941,100.366
901.5583,100.397
902.5225,100.413
903.4868,100.418
904.4510,100.416
905.4152,100.408
906.3795,100.394
907.3437,100.376
908.3079,100.355
909.2722,100.334
910.2364,100.313
911.2006,100.292
