TITLE,
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,24/04/24
TIME,10:25:24
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,0.964233
XUNITS,1/CM
YUNITS,TRANSMITTANCE
FIRSTX,  649.8934
LASTX, 4000.6047
NPOINTS,    3476
FIRSTY,   100.42084
MAXY,   101.04854
MINY,    56.06142
XYDATA
649.8934,100.421
650.8576,100.4
651.8218,100.409
652.7861,100.47
653.7503,100.585
654.7145,100.735
655.6788,100.884
656.6430,100.992
657.6072,101.036
658.5715,101.023
659.5357,100.988
660.4999,100.971
661.4642,100.991
662.4284,101.026
663.3926,101.033
664.3569,100.964
665.3211,100.781
666.2853,100.467
667.2496,100.074
668.2138,99.5738
669.1780,99.2756
670.1423,99.1812
671.1065,99.1258
672.0707,99.0139
673.0350,98.8351
673.9992,98.6196
674.9634,98.4116
675.9277,98.2534
676.8919,98.1708
677.8561,98.1654
678.8204,98.2221
679.7846,98.3197
680.7488,98.4368
681.7131,98.5555
682.6773,98.6654
683.6415,98.7682
684.6058,98.8759
685.5700,99
686.5342,99.1376
687.4985,99.2645
688.4627,99.341
689.4269,99.3271
690.3912,99.2029
691.3554,98.9895
692.3196,98.7635
693.2839,98.7523
694.2481,98.9639
695.2123,99.2985
696.1766,99.6609
697.1408,99.9708
698.1050,100.189
699.0693,100.314
700.0335,100.37
700.9977,100.389
701.9620,100.398
702.9262,100.409
703.8904,100.427
704.8547,100.455
705.8189,100.502
706.7831,100.571
707.7474,100.659
708.7116,100.751
709.6758,100.83
710.6401,100.88
711.6043,100.89
712.5685,100.86
713.5328,100.791
714.4970,100.69
715.4612,100.741
716.4255,100.579
717.3897,100.416
718.3539,100.276
719.3182,100.184
720.2824,100.155
721.2466,100.187
722.2109,100.258
723.1751,100.339
724.1393,100.406
725.1036,100.445
726.0678,100.46
727.0320,100.463
727.9963,100.468
728.9605,100.488
729.9247,100.527
730.8890,100.583
731.8532,100.653
732.8174,100.735
733.7817,100.826
734.7459,100.919
735.7101,100.999
736.6744,101.048
737.6386,101.049
738.6028,100.995
739.5671,100.896
740.5313,100.773
741.4955,100.655
742.4598,100.563
743.4240,100.503
744.3882,100.473
745.3525,100.457
746.3167,100.442
747.2809,100.416
748.2452,100.374
749.2094,100.317
750.1736,100.249
751.1379,100.153
752.1021,100.013
753.0663,99.8726
754.0306,99.7292
754.9948,99.5811
755.9590,99.4291
756.9233,99.2768
757.8875,99.1297
758.8517,98.992
759.8160,98.8657
760.7802,98.7515
761.7444,98.6494
762.7087,98.5585
763.6729,98.4752
764.6371,98.3921
765.6014,98.3002
766.5656,98.1946
767.5298,98.079
768.4941,97.9657
769.4583,97.869
770.4225,97.7955
771.3868,97.7383
772.3510,97.6788
773.3152,97.5956
774.2795,97.4754
775.2437,97.3177
776.2079,97.1339
777.1722,96.9399
778.1364,96.7493
779.1006,96.5699
780.0649,96.4032
781.0291,96.2467
781.9933,96.0964
782.9576,95.9486
783.9218,95.8019
784.8860,95.6577
785.8503,95.5192
786.8145,95.3879
787.7787,95.2606
788.7430,95.1293
789.7072,94.984
790.6714,94.8189
791.6357,94.6348
792.5999,94.4389
793.5641,94.2394
794.5284,94.0412
795.4926,93.8444
796.4568,93.6471
797.4211,93.4491
798.3853,93.252
799.3495,93.0576
800.3138,92.8636
801.2780,92.6639
802.2422,92.4505
803.2065,92.2187
804.1707,91.9694
805.1349,91.7079
806.0992,91.4399
807.0634,91.168
808.0276,90.8907
808.9919,90.6043
809.9561,90.3055
810.9203,89.9934
811.8846,89.6706
812.8488,89.3432
813.8130,89.0217
814.7773,88.7201
815.7415,88.4537
816.7057,88.2341
817.6700,88.064
818.6342,87.9353
819.5984,87.8315
820.5627,87.7336
821.5269,87.628
822.4911,87.5103
823.4554,87.385
824.4196,87.2605
825.3839,87.1442
826.3481,87.0381
827.3123,86.9384
828.2766,86.8367
829.2408,86.7219
830.2050,86.5814
831.1693,86.4027
832.1335,86.1754
833.0977,85.8937
834.0620,85.5584
835.0262,85.1767
835.9904,84.7598
836.9547,84.3187
837.9189,83.861
838.8831,83.3902
839.8474,82.9087
840.8116,82.4221
841.7758,81.9417
842.7401,81.4839
843.7043,81.0657
844.6685,80.6999
845.6328,80.3916
846.5970,80.138
847.5612,79.9314
848.5255,79.7627
849.4897,79.6248
850.4539,79.513
851.4182,79.4246
852.3824,79.3575
853.3466,79.3089
854.3109,79.2752
855.2751,79.253
856.2393,79.2386
857.2036,79.2292
858.1678,79.223
859.1320,79.2203
860.0963,79.2246
861.0605,79.2432
862.0247,79.2868
862.9890,79.3655
863.9532,79.4846
864.9174,79.6419
865.8817,79.8276
866.8459,80.03
867.8101,80.2414
868.7744,80.4629
869.7386,80.703
870.7028,80.9709
871.6671,81.2684
872.6313,81.5843
873.5955,81.8969
874.5598,82.182
875.5240,82.4218
876.4882,82.6107
877.4525,82.7538
878.4167,82.8613
879.3809,82.9425
880.3452,83.0022
881.3094,83.0419
882.2736,83.0629
883.2379,83.0677
884.2021,83.0584
885.1663,83.0351
886.1306,82.9945
887.0948,82.9329
888.0590,82.8503
889.0233,82.7545
889.9875,82.6598
890.9517,82.5829
891.9160,82.5371
892.8802,82.5277
893.8444,82.5523
894.8087,82.6024
895.7729,82.667
896.7371,82.7349
897.7014,82.7954
898.6656,82.8404
899.6298,82.8655
900.5941,82.871
901.5583,82.8617
902.5225,82.8438
903.4868,82.8226
904.4510,82.7999
905.4152,82.7739
906.3795,82.7401
907.3437,82.6931
908.3079,82.6284
909.2722,82.5445
910.2364,82.4448
911.2006,82.3389
912.1649,82.241
913.1291,82.1655
