Time,Temperature,Weight,Deriv. Weight,Catalyst,temp
39.6,39.625,99.483,0.3964405,RN,325
39.60055555555556,39.62627777777778,99.4825,0.3865429999999999,RN,325
39.60111111111112,39.62755555555556,99.482,0.3674345,RN,325
39.601666666666674,39.62883333333334,99.482,0.343998,RN,325
39.60222222222223,39.63011111111112,99.482,0.332886,RN,325
39.60277777777779,39.630616161616175,99.482,0.3370705,RN,325
39.603333333333346,39.63112121212122,99.4815,0.355781,RN,325
39.6038888888889,39.63162626262627,99.4815,0.3566494999999999,RN,325
39.60444444444446,39.632131313131325,99.481,0.341275,RN,325
39.604206349206365,39.632239538239546,99.4805,0.319972,RN,325
39.60444444444446,39.63258585858587,99.4805,0.3011215,RN,325
39.60468253968256,39.632932178932194,99.4805,0.2998349999999999,RN,325
39.60492063492065,39.63327849927851,99.48,0.3119794999999999,RN,325
39.60515873015875,39.63362481962483,99.48,0.3151224999999999,RN,325
39.605396825396845,39.63397113997115,99.4795,0.315177,RN,325
39.60563492063494,39.63431746031747,99.479,0.2983449999999999,RN,325
39.60587301587304,39.63466378066379,99.479,0.269583,RN,325
39.60611111111113,39.63501010101011,99.479,0.2475235,RN,325
39.60634920634923,39.635356421356434,99.4785,0.2458024999999999,RN,325
39.606587301587325,39.63570274170276,99.4785,0.2588324999999999,RN,325
39.60682539682542,39.636049062049075,99.478,0.2778895,RN,325
39.60706349206352,39.63639538239539,99.478,0.2821965000000001,RN,325
39.60730158730161,39.63674170274171,99.4775,0.2732065,RN,325
39.60753968253971,39.63708802308804,99.4775,0.2607965,RN,325
39.607777777777805,39.63743434343436,99.4775,0.2479399999999999,RN,325
39.6080158730159,39.637780663780674,99.477,0.241452,RN,325
39.608253968254,39.638126984127,99.4765,0.2423054999999999,RN,325
39.60849206349209,39.63847330447332,99.4765,0.2575355,RN,325
39.60873015873019,39.63881962481964,99.4765,0.2723505,RN,325
39.608968253968285,39.63916594516595,99.476,0.2776514999999999,RN,325
39.60920634920638,39.63951226551228,99.476,0.2699055,RN,325
39.60944444444448,39.639858585858605,99.476,0.2584645,RN,325
39.609682539682574,39.64020490620492,99.475,0.2489139999999999,RN,325
39.60992063492067,39.64055122655124,99.475,0.2552675,RN,325
39.610158730158766,39.64089754689756,99.475,0.2756109999999999,RN,325
39.61039682539686,39.64124386724389,99.4745,0.301766,RN,325
39.61063492063496,39.64159018759021,99.4745,0.322816,RN,325
39.610873015873054,39.64193650793652,99.4745,0.3191695,RN,325
39.61111111111115,39.642282828282845,99.4745,0.3054235,RN,325
39.61094161958573,39.64242535524741,99.4735,0.2904084999999999,RN,325
39.61111111111115,39.64273737373739,99.4735,0.291085,RN,325
39.611280602636576,39.643049392227375,99.4735,0.3062399999999999,RN,325
39.611450094162,39.64336141071736,99.473,0.3225734999999999,RN,325
39.61161958568743,39.64367342920735,99.473,0.34625,RN,325
39.611789077212855,39.64398544769733,99.473,0.35172,RN,325
39.61195856873828,39.64429746618732,99.473,0.3425249999999999,RN,325
39.61212806026371,39.644609484677304,99.472,0.3265869999999999,RN,325
39.61229755178913,39.64492150316729,99.472,0.3101435,RN,325
39.61246704331456,39.645233521657275,99.472,0.333531,RN,325
39.612636534839986,39.64559604519776,99.472,0.372867,RN,325
39.61280602636541,39.64595856873826,99.4715,0.4058859999999999,RN,325
39.61297551789084,39.646321092278754,99.4715,0.4274594999999999,RN,325
39.613145009416264,39.64668361581924,99.4715,0.419402,RN,325
39.61331450094169,39.64704613935973,99.4705,0.423613,RN,325
39.61348399246712,39.647408662900226,99.4705,0.4488519999999999,RN,325
39.61365348399254,39.64777118644072,99.4705,0.4910225,RN,325
39.61382297551797,39.64813370998121,99.4705,0.546149,RN,325
39.61399246704339,39.6484962335217,99.47,0.5925575,RN,325
39.61416195856882,39.64885875706219,99.47,0.6274165,RN,325
39.61433145009425,39.64922128060269,99.47,0.6513355,RN,325
39.614500941619674,39.64958380414318,99.4695,0.673647,RN,325
39.6146704331451,39.649946327683665,99.469,0.70713,RN,325
39.61483992467053,39.65030885122416,99.469,0.7694255,RN,325
39.61500941619595,39.650671374764656,99.469,0.8527754999999999,RN,325
39.61517890772138,39.651033898305144,99.469,0.9410195,RN,325
39.615348399246805,39.65139642184563,99.4685,1.040853,RN,325
39.61551789077223,39.65175894538613,99.4685,1.1406135000000002,RN,325
39.61568738229766,39.65226035781551,99.4685,1.2999960000000002,RN,325
39.61585687382309,39.65276177024489,99.468,1.5191355,RN,325
39.61602636534851,39.653263182674266,99.4675,1.7789345,RN,325
39.61619585687394,39.653764595103645,99.4675,2.2292865,RN,325
39.61636534839936,39.654266007533025,99.4675,2.9980715,RN,325
39.61653483992479,39.6547674199624,99.4675,4.4854294999999995,RN,325
39.616704331450215,39.65526883239178,99.467,6.1892534999999995,RN,325
39.61687382297564,39.65577024482116,99.467,-6.2552515,RN,325
39.61704331450107,39.65627165725054,99.467,-3.6003295,RN,325
39.617212806026494,39.65677306967992,99.467,-2.3328379999999997,RN,325
39.61738229755192,39.6572744821093,99.467,-1.6741242,RN,325
39.617551789077346,39.65777589453868,99.466,-1.3160999,RN,325
39.61772128060277,39.65836064030139,99.466,-1.1041453,RN,325
39.6178907721282,39.658945386064104,99.466,-0.9252702,RN,325
39.618060263653625,39.65953013182681,99.466,-0.7830045999999999,RN,325
39.61822975517905,39.66011487758953,99.4655,-0.66352135,RN,325
39.61839924670448,39.66069962335224,99.4655,-0.5666467000000001,RN,325
39.618568738229904,39.66128436911495,99.4655,-0.4981806,RN,325
